% time	cellId	IMSI	RNTI	rsrp	sinr
2.16921	1	1	1	1.90018e-10	400593
2.17021	1	1	1	1.9014e-10	400850
2.17121	1	1	1	1.90262e-10	401107
2.17221	1	1	1	1.90384e-10	401364
2.17321	1	1	1	1.90506e-10	401621
2.17421	1	1	1	1.90628e-10	401879
2.17521	1	1	1	1.9075e-10	402137
2.17621	1	1	1	1.90872e-10	402394
2.17721	1	1	1	1.90995e-10	402653
2.17821	1	1	1	1.91117e-10	402911
2.17921	1	1	1	1.9124e-10	403169
2.18021	1	1	1	1.91363e-10	403428
2.18121	1	1	1	1.91485e-10	403687
2.18221	1	1	1	1.91608e-10	403946
2.18321	1	1	1	1.91731e-10	404205
2.18421	1	1	1	1.91854e-10	404464
2.18521	1	1	1	1.91977e-10	404724
2.18621	1	1	1	1.92101e-10	404983
2.18721	1	1	1	1.92224e-10	405243
2.18821	1	1	1	1.92347e-10	405503
2.18921	1	1	1	1.92471e-10	405764
2.19021	1	1	1	1.92594e-10	406024
2.19121	1	1	1	1.92718e-10	406285
2.19221	1	1	1	1.92841e-10	406545
2.19321	1	1	1	1.92965e-10	406806
2.19421	1	1	1	1.93089e-10	407067
2.19521	1	1	1	1.93213e-10	407329
2.19621	1	1	1	1.93337e-10	407590
2.19721	1	1	1	1.93461e-10	407852
2.19821	1	1	1	1.93585e-10	408113
2.19921	1	1	1	1.9371e-10	408375
2.20021	1	1	1	1.93834e-10	408638
2.20121	1	1	1	1.93958e-10	408900
2.20221	1	1	1	1.94083e-10	409163
2.20321	1	1	1	1.94207e-10	409425
2.20421	1	1	1	1.94332e-10	409688
2.20521	1	1	1	1.94457e-10	409951
2.20621	1	1	1	1.94582e-10	410214
2.20721	1	1	1	1.94707e-10	410478
2.20821	1	1	1	1.94832e-10	410741
2.20921	1	1	1	1.94957e-10	411005
2.21021	1	1	1	1.95082e-10	411269
2.21121	1	1	1	1.95207e-10	411533
2.21221	1	1	1	1.95333e-10	411798
2.21321	1	1	1	1.95458e-10	412062
2.21421	1	1	1	1.95584e-10	412327
2.21521	1	1	1	1.95709e-10	412591
2.21621	1	1	1	1.95835e-10	412856
2.21721	1	1	1	1.95961e-10	413122
2.21821	1	1	1	1.96087e-10	413387
2.21921	1	1	1	1.96213e-10	413653
2.22021	1	1	1	1.96339e-10	413918
2.22121	1	1	1	1.96465e-10	414184
2.22221	1	1	1	1.96591e-10	414450
2.22321	1	1	1	1.96717e-10	414717
2.22421	1	1	1	1.96844e-10	414983
2.22521	1	1	1	1.9697e-10	415250
2.22621	1	1	1	1.97097e-10	415516
2.22721	1	1	1	1.97223e-10	415783
2.22821	1	1	1	1.9735e-10	416050
2.22921	1	1	1	1.97477e-10	416318
2.23021	1	1	1	1.97604e-10	416585
2.23121	1	1	1	1.97731e-10	416853
2.23221	1	1	1	1.97858e-10	417121
2.23321	1	1	1	1.97985e-10	417389
2.23421	1	1	1	1.98112e-10	417657
2.23521	1	1	1	1.98239e-10	417925
2.23621	1	1	1	1.98367e-10	418194
2.23721	1	1	1	1.98494e-10	418463
2.23821	1	1	1	1.98622e-10	418732
2.23921	1	1	1	1.9875e-10	419001
2.24021	1	1	1	1.98877e-10	419270
2.24121	1	1	1	1.99005e-10	419540
2.24221	1	1	1	1.99133e-10	419809
2.24321	1	1	1	1.99261e-10	420079
2.24421	1	1	1	1.99389e-10	420349
2.24521	1	1	1	1.99517e-10	420619
2.24621	1	1	1	1.99645e-10	420890
2.24721	1	1	1	1.99774e-10	421160
2.24821	1	1	1	1.99902e-10	421431
2.24921	1	1	1	2.00031e-10	421702
2.25021	1	1	1	2.00159e-10	421973
2.25121	1	1	1	2.00288e-10	422244
2.25221	1	1	1	2.00417e-10	422515
2.25321	1	1	1	2.00545e-10	422787
2.25421	1	1	1	2.00674e-10	423059
2.25521	1	1	1	2.00803e-10	423331
2.25621	1	1	1	2.00933e-10	423603
2.25721	1	1	1	2.01062e-10	423875
2.25821	1	1	1	2.01191e-10	424148
2.25921	1	1	1	2.0132e-10	424420
2.26021	1	1	1	2.0145e-10	424693
2.26121	1	1	1	2.01579e-10	424966
2.26221	1	1	1	2.01709e-10	425240
2.26321	1	1	1	2.01838e-10	425513
2.26421	1	1	1	2.01968e-10	425786
2.26521	1	1	1	2.02098e-10	426060
2.26621	1	1	1	2.02228e-10	426334
2.26721	1	1	1	2.02358e-10	426608
2.26821	1	1	1	2.02488e-10	426883
2.26921	1	1	1	2.02618e-10	427157
2.27021	1	1	1	2.02749e-10	427432
2.27121	1	1	1	2.02879e-10	427706
2.27221	1	1	1	2.03009e-10	427981
2.27321	1	1	1	2.0314e-10	428257
2.27421	1	1	1	2.03271e-10	428532
2.27521	1	1	1	2.03401e-10	428808
2.27621	1	1	1	2.03532e-10	429083
2.27721	1	1	1	2.03663e-10	429359
2.27821	1	1	1	2.03794e-10	429635
2.27921	1	1	1	2.03925e-10	429912
2.28021	1	1	1	2.04056e-10	430188
2.28121	1	1	1	2.04187e-10	430465
2.28221	1	1	1	2.04319e-10	430741
